Brett Hundley,0,QB,SEA,4500
Josh Rosen,12.59,QB,ARI,4500
Mason Rudolph,0,QB,PIT,4500
John Brown,9.43,WR,BAL,4400
Mohamed Sanu,11.42,WR,ATL,4400
Taylor Gabriel,12.23,WR,CHI,4400
C.J. Beathard,0,QB,SF,4400
Teddy Bridgewater,0,QB,NO,4400
Doug Martin,10.73,RB,OAK,4400
Gus Edwards,12.04,RB,BAL,4400
Josh Adams,11.66,RB,PHI,4400
Chris Thompson,9.29,RB,WAS,4300
Geno Smith,0,QB,LAC,4300
Tyrod Taylor,0,QB,CLE,4300
Chris Godwin,11.74,WR,TB,4300
Trevor Siemian,0,QB,MIN,4300
Josh McCown,0,QB,NYJ,4300
Brock Osweiler,0,QB,MIA,4300
Sean Mannion,0,QB,LAR,4300
Chase Daniel,0,QB,CHI,4300
Jordan Howard,13.49,RB,CHI,4300
Chad Henne,0,QB,KC,4300
Demarcus Robinson,4.8,WR,KC,4300
Keke Coutee,0,WR,HOU,4300
Dante Pettis,15.14,WR,SF,4300
Adrian Peterson,11.59,RB,WAS,4200
Blaine Gabbert,0,QB,TEN,4200
Mark Sanchez,0,QB,WAS,4200
Vernon Davis,0,TE,WAS,4200
Tyrell Williams,9.3,WR,LAC,4200
Cooper Rush,0,QB,DAL,4200
Brian Hoyer,0,QB,NE,4200
Matt Barkley,0,QB,BUF,4200
Brandon Weeden,0,QB,HOU,4200
Devin Funchess,8.86,WR,CAR,4200
Jacoby Brissett,0,QB,IND,4200
Mike Glennon,0,QB,ARI,4200
Matt Breida,12.53,RB,SF,4200
AJ McCarron,0,QB,OAK,4200
Kenneth Dixon,11.15,RB,BAL,4100
Theo Riddick,10.77,RB,DET,4100
Kenny Stills,12.52,WR,MIA,4100
Vance McDonald,10.28,TE,PIT,4100
Anthony Miller,10.75,WR,CHI,4100
Colt McCoy,0,QB,WAS,4000
Drew Stanton,0,QB,CLE,4000
Tom Savage,0,QB,CIN,4000
Rod Smith,3.51,RB,DAL,4000
Ryan Griffin,0,QB,TB,4000
Matt Cassel,0,QB,DET,4000
Kyle Sloter,0,QB,MIN,4000
